goos: linux
goarch: amd64
pkg: github.com/gnames/levenshtein/ent/editdist
BenchmarkDist/CompareOnceMaxOff-8         	 1604438	       736 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1625553	       733 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1605240	       743 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1607449	       746 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1635512	       755 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1627047	       743 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1627448	       741 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1611516	       741 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1618770	       738 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMaxOff-8         	 1645152	       738 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2084752	       581 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2049190	       578 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2051424	       579 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2087812	       589 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2086141	       579 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2042860	       577 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2072294	       583 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2054764	       581 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2086394	       573 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareOnceMax-8            	 2076535	       578 ns/op	      32 B/op	       1 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	281942768	         3.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	306604734	         3.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	294711284	         3.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	303573180	         3.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	306407037	         3.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	302869888	         3.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	305385112	         3.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	304115678	         3.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	302921658	         3.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOffEqual-8       	307218862	         3.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOnEqual-8        	317890561	         3.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkDist/CompareDiffOnEqual-8        	323321842	         3.85 ns/op	       0 B/op	       0 allocs/op
